Ref,Val,Package,PosX,PosY,Rot,Side
"U4","IES0105S09","IES0105S09",107.270000,-101.984800,-90.000000,bottom
"U6","IES0105S09","IES0105S09",107.170000,-116.684800,-90.000000,bottom
